fitur 1,fitur 2,fitur 3,fitur 4,fitur 5,fitur 6,fitur 7,fitur 8,fitur 9,fitur 10,fitur 11,fitur 12,fitur 13,fitur 14,fitur 15,fitur 16,fitur 17,fitur 18,fitur 19,fitur 20,fitur 21,fitur 22,fitur 23,fitur 24,fitur 25,fitur 26,fitur 27,fitur 28,fitur 29,fitur 30,fitur 31,fitur 32,fitur 33,fitur 34,fitur 35,fitur 36,fitur 37,fitur 38,fitur 39,fitur 40,fitur 41,fitur 42,fitur 43,fitur 44,fitur 45,label
8.70967413,0.034022167,0.052428454,15.35779845,0.059991397,0.017529467,14.51029219,0.05668083,0.02633503,113.993608,83.36263134,-0.481608231,5.653715188,128.6657,74.96055154,-0.768841831,6.709159437,133.694228,69.55593447,-1.169999425,7.371642624,19.41963636,19.95570207,18.4156,19.62351636,0.890171057,0.883532576,0.898380878,0.890380486,0.14571336,0.129452481,0.13245053,0.128393027,1194.52943,1264.782315,1098.702921,1190.409018,0.000403642,0.000327964,0.000337471,0.000335289,0.020090853,0.018109774,0.018370384,0.018310908,Bakso
10.11133105,0.03949739,0.04843766,14.94765636,0.058389284,0.02229219,11.95271667,0.0466903,0.041548356,105.314168,71.80699923,2.292180966,47.95899398,127.121468,73.91671233,2.188328656,57.09022987,140.157512,74.55599741,1.817664,60.28716461,23.52334949,24.30609798,20.06846869,22.89523446,0.883561427,0.872644594,0.910783754,0.888322578,0.09255937,0.088937211,0.104312274,0.094396897,1258.636537,1377.226827,969.9130343,1207.616562,0.000232326,0.000223047,0.000266859,0.000241422,0.015242252,0.01493477,0.016335805,0.015537775,Bakso
4.286823211,0.016745403,0.060214955,10.98608301,0.042914387,0.04543793,13.69321854,0.053489134,0.03232897,95.1264,81.87698343,0.269200202,3.628591205,123.084904,77.99203272,0.149639332,-0.501139596,153.273984,68.12213923,0.366694493,-0.798291348,29.71465051,34.84777413,32.23514343,31.34588401,0.780203065,0.722434016,0.752082675,0.758473638,0.095054397,0.076763851,0.078976358,0.086461933,2306.638053,2918.982944,2601.47284,2539.822512,0.000140508,0.000115138,0.000125426,0.000131291,0.011853627,0.010730251,0.011199386,0.011458234,Bakso
5.182406309,0.020243775,0.059130695,13.61468364,0.05318236,0.032831185,11.22361302,0.04384224,0.044543326,92.230304,75.66967408,0.141044665,0.318236641,123.600204,74.90305681,0.162618118,-0.512387706,153.048932,70.5812726,0.341842715,-0.785432377,19.49635556,21.33040127,18.54071515,21.012174,0.89437843,0.876714625,0.892596901,0.878210984,0.125243241,0.117709832,0.144181012,0.120688107,1119.825576,1312.369984,1143.646339,1296.483964,0.00021077,0.000194972,0.000258367,0.000198019,0.014517931,0.013963221,0.016073807,0.014071916,Bakso
4.150865616,0.016214319,0.06036014,13.79674816,0.053893548,0.031650204,13.61878911,0.05319839,0.03280519,103.859208,92.30155696,-1.149230002,18.97379176,129.25442,78.89570611,-5.702181469,240.0712727,136.49686,60.42128762,-1.449929785,5.855060052,18.3524,19.65484765,17.1404404,19.17723238,0.906761963,0.898205683,0.922503677,0.90210497,0.141026505,0.133131688,0.156558163,0.138193999,979.9111232,1069.142548,821.4058949,1028.237066,0.000177241,0.000170519,0.0002093,0.000185792,0.013313202,0.01305828,0.01446722,0.013630542,Bakso
4.972481258,0.019423753,0.05940512,15.40115771,0.06016077,0.016939046,14.31782762,0.055929013,0.02789615,102.184596,86.0931135,0.076362718,2.198220485,129.322256,75.00575353,-0.109429467,-0.397113344,138.128636,68.73935741,-0.016206173,-0.246767581,25.56857778,24.72805021,19.6605697,24.12086206,0.852071688,0.862106362,0.909191799,0.865334034,0.093553252,0.09533266,0.122256789,0.104880076,1579.903382,1470.219782,967.4191071,1435.842937,0.000233245,0.000233852,0.000300048,0.000255497,0.015272345,0.015292231,0.017321884,0.015984281,Bakso
9.620285737,0.03757924,0.04994047,15.8947969,0.062089052,0.00715539,12.42167675,0.048522174,0.039393514,97.356944,75.68252284,-0.324466358,0.294130918,124.661184,73.59686534,-0.632625444,2.998057779,146.78126,75.63369311,-0.985868818,11.90384764,27.64797576,28.95867748,23.11497374,26.29586694,0.834858415,0.815246797,0.877210378,0.848215703,0.082677309,0.078143485,0.092233567,0.084483754,1764.58644,1967.853302,1308.8312,1616.464888,9.55E-05,9.34E-05,0.000113197,0.000101252,0.009773832,0.009663003,0.010639426,0.010062401,Bakso
10.00730301,0.03909103,0.048766203,15.8271523,0.061824813,0.009162029,11.70093769,0.045706786,0.04262792,104.8725,79.78845633,-1.20689896,5.458817835,127.13494,72.73964924,-1.225732672,12.08772269,139.01006,75.37376869,-1.397720494,3.580697301,28.64041212,28.8021145,23.29574949,27.05531348,0.813014356,0.806037867,0.860907451,0.826877417,0.079963755,0.091743127,0.106141961,0.090549424,2026.424832,2100.626394,1500.646457,1874.874642,0.000130869,0.000135636,0.000171153,0.000145702,0.011439812,0.011646274,0.013082557,0.01207069,Bakso
7.476822262,0.029206337,0.055256132,14.43483962,0.05638609,0.026960313,14.66261707,0.057275847,0.025014542,113.625536,84.62127104,-0.544762462,2.469919277,128.615448,75.34863359,-0.44477012,3.338317792,134.981032,69.06341249,-0.232214966,3.623101363,21.65720404,24.08876658,22.54978586,23.2718563,0.888659271,0.870732286,0.881673603,0.878146735,0.109194521,0.09431819,0.105746059,0.09811819,1209.458473,1400.648446,1279.822279,1320.282035,0.000386887,0.000349071,0.000393881,0.00035093,0.019669432,0.018683437,0.019846427,0.018733114,Bakso
4.199187548,0.016403075,0.060309116,12.90191266,0.050398096,0.036963247,14.15283442,0.055284508,0.02915258,90.355476,83.14025293,2.003609234,23.46150968,124.198236,77.49972105,-0.140077302,9.500530548,154.590848,63.82671167,0.701408938,14.81040904,20.7516,21.03932265,16.96634747,20.36765088,0.862512005,0.858419638,0.8971398,0.865493484,0.136187531,0.138718961,0.169205051,0.132382988,1461.318469,1504.140731,1087.80322,1428.962295,0.000411553,0.0003935,0.000531213,0.000417044,0.020286766,0.019836831,0.023048062,0.02042166,Bakso
