fitur 1,fitur 2,fitur 3,fitur 4,fitur 5,fitur 6,fitur 7,fitur 8,fitur 9,fitur 10,fitur 11,fitur 12,fitur 13,fitur 14,fitur 15,fitur 16,fitur 17,fitur 18,fitur 19,fitur 20,fitur 21,fitur 22,fitur 23,fitur 24,fitur 25,fitur 26,fitur 27,fitur 28,label
148.3547472,49.3144441,0.697498363,-1.5,11.25639436,12.58627649,12.71279605,12.53724367,0.900673035,0.884846671,0.879971656,0.882529355,0.199168761,0.164317557,0.162288,0.1674439,411.4980938,476.9048841,495.3502303,486.5014105,0.000405836,0.000299073,0.000295475,0.000309303,0.020145379,0.017293722,0.017189378,0.017587024,bakso
147.0614055,47.92602819,-0.259834592,-1.5,20.91948428,22.86705347,20.86224163,21.49255288,0.763053156,0.724219169,0.766334519,0.746454679,0.078318504,0.071634151,0.075609919,0.075287292,1048.043401,1219.110708,1051.554207,1120.422165,0.00014931,0.000134904,0.00014549,0.000146705,0.012219263,0.011614835,0.012061922,0.012112202,bakso
125.6871524,67.06931784,-0.212126439,-1.5,19.60749846,22.77663413,21.18348201,20.79959167,0.845750875,0.803670216,0.825168552,0.827513367,0.107636051,0.09028681,0.09332025,0.099597911,991.5616896,1264.267031,1123.343819,1110.691284,0.000121929,0.000102593,0.000111403,0.000116759,0.011042166,0.010128798,0.010554741,0.010805495,bakso
153.0856948,64.07489753,-0.025546675,-1.5,12.74220159,15.84137432,15.79139752,15.83829194,0.926413465,0.890495365,0.884937745,0.8902827,0.162305827,0.13870266,0.153163871,0.138312939,481.0671463,718.9213666,754.6676273,720.3283872,0.000196549,0.000169228,0.000202256,0.000165282,0.01401959,0.013008758,0.014221685,0.012856187,bakso
133.3245363,76.03788409,0.697982811,-1.5,13.07566428,14.16431792,12.4456615,13.86777191,0.937875019,0.932166373,0.947474127,0.933652551,0.191620952,0.175967111,0.200307436,0.176209898,571.5300212,624.3053837,486.0599946,610.6399836,0.000234644,0.000211224,0.000254295,0.000217164,0.01531811,0.014533564,0.015946644,0.014736488,bakso
166.6573295,66.93892165,0.206371445,-1.5,15.9236806,18.11266243,17.60150338,17.31544053,0.899591553,0.873986241,0.884657425,0.886910302,0.166315638,0.143099753,0.146814308,0.154479542,724.1037794,909.2319201,832.018225,816.0206041,0.00034623,0.000273014,0.000281641,0.000295648,0.018607258,0.01652315,0.016782156,0.017194427,bakso
109.9597552,57.78069708,-0.034544683,-1.5,24.68880218,27.62525926,25.17258601,25.20684434,0.766753113,0.705360303,0.75297232,0.75916272,0.071661934,0.05743247,0.064944332,0.068017566,1303.94755,1637.058807,1373.142073,1337.708028,7.01E-05,6.13E-05,6.74E-05,6.81E-05,0.008372945,0.007828412,0.00820857,0.008252686,bakso
120.6861177,60.04491468,0.172674169,-1.5,18.19051839,20.25137385,18.5049165,18.90921218,0.864305639,0.833812016,0.8574798,0.854495391,0.107762815,0.106952679,0.11445366,0.117900072,868.8682172,1064.208186,910.3367388,931.7132311,0.000134305,0.000122978,0.000138922,0.000142652,0.011588984,0.011089538,0.011786509,0.011943714,bakso
167.0439844,61.81269612,-0.00406185,-1.5,16.26085302,19.4915537,19.24888487,18.55468791,0.883908479,0.847219261,0.85037559,0.862109381,0.159035186,0.131467754,0.135312084,0.13354179,787.7652559,1032.875783,1009.803918,932.2064835,0.000417579,0.000345208,0.00035946,0.000344558,0.020434758,0.01857978,0.018959431,0.018562274,bakso
162.3323652,60.2737438,0.205412142,-1.5,12.74779139,14.42593742,13.92810383,14.2854283,0.888278253,0.85880671,0.865081042,0.86347117,0.194102317,0.170201011,0.18192315,0.167954701,547.1535834,690.7329285,657.3785383,667.9063396,0.000433357,0.000357822,0.000418934,0.000388131,0.020817217,0.018916177,0.020467873,0.019701045,bakso
